rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code
pull_request_commit,66,eneim,Toro,eneim,2016-04-06 09:51:38+00:00,Update README.md,7a42dd59c41000c068e6c675459f4a7f200878c9,,api.github.com,,false,[],[],[],[]
pull_request_commit,66,eneim,Toro,eneim,2016-04-06 13:26:39+00:00,Delete gradle.properties,76201882424ab5026ded36e09924a3e34b63d41d,,api.github.com,,false,[],[],[],[]
pull_request_commit,66,eneim,Toro,eneim,2016-04-06 13:27:06+00:00,Update README.md,f62c87cdb121b66ee1acaabdfe26c1994d3dba49,,api.github.com,,false,[],[],[],[]
pull_request_commit,66,eneim,Toro,eneim,2016-04-06 13:35:06+00:00,Update README.md,19964e1db8d75f679a501eb35c09a2024efdc407,,api.github.com,,false,[],[],[],[]
pull_request_commit,66,eneim,Toro,eneim,2016-04-06 13:47:48+00:00,Update README.md,bab70dc76e381c277c01ab121d0275538a9dc8b8,,api.github.com,,false,[],[],[],[]
pull_request_commit,66,eneim,Toro,eneim,2016-04-06 14:03:29+00:00,Update README.md,463f6f42da90c88ec78a55dbf5c2279d006f7759,,api.github.com,,false,[],[],[],[]
pull_request_commit,66,eneim,Toro,eneim,2016-04-08 09:26:06+00:00,Update AS to 2.0 final,5b35a3feca549d012d9dc4e7318dc7242de9da5b,,api.github.com,,false,[],[],[],[]
pull_request_commit,66,eneim,Toro,eneim,2016-04-08 09:26:33+00:00,Add a sample of how to trigger playback manually at runtime,810451a02ff74f0d1d48f224c31a875947185e08,,api.github.com,,false,[],[],[],[]
pull_request_commit,66,eneim,Toro,eneim,2016-04-08 09:50:51+00:00,Update sample for a toggle-able List,126e4d142af5962eae3f9d323884bb1e831eb257,,api.github.com,,false,[],[],[],[]
pull_request_commit,66,eneim,Toro,eneim,2016-04-08 09:51:38+00:00,"Merge pull request #34 from eneim/feature/sample-triggerable

Feature/sample triggerable",1984fa8e90ef348fe18294aea09a73f2f7f40789,,api.github.com,,false,[],"[{""raw"": ""#34"", ""refstyle"": ""#d"", ""parts"": [""eneim"", ""Toro"", ""34"", """"]}]",[],[]
pull_request_commit,66,eneim,Toro,eneim,2016-04-08 12:12:48+00:00,Long-going branch to help support Youtube videos. This branch works like this: I improve sample app with latest library. Any change from library will be merge to this. But this branch should not be merged to develop.,9b8e690614fbb2ab2e5c8c0e03d9e3ababaea394,,api.github.com,,false,[],[],[],[]
pull_request_commit,66,eneim,Toro,eneim,2016-04-08 15:27:42+00:00,Add Youtube support to sample App,8f7f0258cb95c6f088ea30082cabf38274749998,,api.github.com,,false,[],[],[],[]
pull_request_commit,66,eneim,Toro,eneim,2016-04-09 16:39:46+00:00,control orientation,3ceaebba8f57808d4ac2ee2a89dfcfa1627b1dbb,,api.github.com,,false,[],[],[],[]
pull_request_commit,66,eneim,Toro,eneim,2016-04-10 14:34:58+00:00,Change properties names,6d1e3b34dc49d8ad028c22225f61874ebda034ae,,api.github.com,,false,[],[],[],[]
pull_request_commit,66,eneim,Toro,eneim,2016-04-10 14:40:39+00:00,minor fixes,72c430829ec00895199a11a68faaf2441488c110,,api.github.com,,false,[],[],[],[]
pull_request_commit,66,eneim,Toro,eneim,2016-04-10 14:52:57+00:00,Minor fix and improve,020a45d7909a375de78abb0f7574758ca004c3e7,,api.github.com,,false,[],[],[],[]
